category,nl_question,sparql_query
Temporal Trends,Which year was the coldest on average?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?year (AVG(?val) AS ?avgTemp)
WHERE {
  ?obs sosa:resultTime ?date ;
       sosa:hasResult ?res .
  ?res qudt:numericValue ?val ;
       rdfs:label ""avg"" .
  BIND(YEAR(?date) AS ?year)
}
GROUP BY ?year
ORDER BY ASC(?avgTemp)
LIMIT 1"
Temporal Trends,What was the average temperature per year?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?year (AVG(?val) AS ?avgTemp)
WHERE {
    ?obs sosa:resultTime ?date ;
         sosa:hasResult ?res .

    ?res qudt:numericValue ?val ;
         rdfs:label ""avg"" .

    BIND(YEAR(?date) AS ?year)
}
GROUP BY ?year
ORDER BY ?year"
Temporal Trends,How much total precipitation was recorded in 2010?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT (SUM(?val) AS ?totalRain)
WHERE {
  ?obs sosa:resultTime ?date ;
       sosa:hasResult ?res .
  ?res qudt:numericValue ?val ;
       rdfs:label ""precipitation"" .
  FILTER(
    ?date >= ""2010-01-01""^^xsd:date &&
    ?date <= ""2010-12-31""^^xsd:date
  )
}"
Temporal Trends,How many rainy days were there in 2010?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT (COUNT(?obs) AS ?rainyDays)
WHERE {
  ?obs sosa:resultTime ?date ;
       sosa:hasResult ?res .
  ?res qudt:numericValue ?val ;
       rdfs:label ""precipitation"" .
  FILTER(?val > 0)
  FILTER(
    ?date >= ""2010-01-01""^^xsd:date &&
    ?date <= ""2010-12-31""^^xsd:date
  )
}"
Temporal Trends,What was the average precipitation in 2003?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT (AVG(?val) AS ?avgRain)
WHERE {
  ?obs sosa:resultTime ?date ;
       sosa:hasResult ?res .
  ?res qudt:numericValue ?val ;
       rdfs:label ""precipitation"" .
  FILTER(
    ?date >= ""2003-01-01""^^xsd:date &&
    ?date <= ""2003-12-31""^^xsd:date
  )
}"
Temporal Trends,What was the wettest day recorded in Dublin?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?date ?val
WHERE {
  ?obs sosa:resultTime ?date ;
       sosa:hasResult ?res .
  ?res qudt:numericValue ?val ;
       rdfs:label ""precipitation"" .
}
ORDER BY DESC(?val)
LIMIT 1"
Seasonal & Period Comparison,Is spring warmer than autumn?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?season (AVG(?val) AS ?avgTemp) WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
 BIND(IF(MONTH(?date)>=3 && MONTH(?date)<=5,""Spring"",IF(MONTH(?date)>=9 && MONTH(?date)<=11,""Autumn"",""Other"")) AS ?season)
 FILTER(?season!=""Other"")
} GROUP BY ?season"
Seasonal & Period Comparison,Which season has the lowest minimum temperature?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?season (MIN(?val) AS ?minTemp) WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""min"" .
 BIND(IF(MONTH(?date)=12 || MONTH(?date)<=2,""Winter"",IF(MONTH(?date)<=5,""Spring"",IF(MONTH(?date)<=8,""Summer"",""Autumn""))) AS ?season)
} GROUP BY ?season ORDER BY ASC(?minTemp) LIMIT 1"
Seasonal & Period Comparison,Which season has the highest maximum temperature?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?season (MAX(?val) AS ?maxTemp) WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""max"" .
 BIND(IF(MONTH(?date)=12 || MONTH(?date)<=2,""Winter"",IF(MONTH(?date)<=5,""Spring"",IF(MONTH(?date)<=8,""Summer"",""Autumn""))) AS ?season)
} GROUP BY ?season ORDER BY DESC(?maxTemp) LIMIT 1"
Seasonal & Period Comparison,Compare average temperatures between March and September.,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?month (AVG(?val) AS ?avgTemp) WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
 BIND(MONTH(?date) AS ?month)
 FILTER(?month=3 || ?month=9)
} GROUP BY ?month"
Seasonal & Period Comparison,Which season has the most rainy days?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?season (COUNT(?obs) AS ?rainyDays) WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""precipitation"" .
 FILTER(?val>0)
 BIND(IF(MONTH(?date)=12 || MONTH(?date)<=2,""Winter"",IF(MONTH(?date)<=5,""Spring"",IF(MONTH(?date)<=8,""Summer"",""Autumn""))) AS ?season)
} GROUP BY ?season ORDER BY DESC(?rainyDays) LIMIT 1"
Seasonal & Period Comparison,Is winter precipitation higher than summer precipitation?,"# same as above; compare externally
PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?season (AVG(?val) AS ?avgRain) WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""precipitation"" .
 BIND(IF(MONTH(?date)>=6 && MONTH(?date)<=8,""Summer"",IF(MONTH(?date)=12 || MONTH(?date)<=2,""Winter"",""Other"")) AS ?season)
 FILTER(?season!=""Other"")
} GROUP BY ?season"
Seasonal & Period Comparison,Compare summer rainfall with winter rainfall.,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?season (AVG(?val) AS ?avgRain) WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""precipitation"" .
 BIND(IF(MONTH(?date)>=6 && MONTH(?date)<=8,""Summer"",IF(MONTH(?date)=12 || MONTH(?date)<=2,""Winter"",""Other"")) AS ?season)
 FILTER(?season!=""Other"")
} GROUP BY ?season"
Seasonal & Period Comparison,Which season has the highest temperature variability?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?season (MAX(?val)-MIN(?val) AS ?range) WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
 BIND(IF(MONTH(?date)=12 || MONTH(?date)<=2,""Winter"",IF(MONTH(?date)<=5,""Spring"",IF(MONTH(?date)<=8,""Summer"",""Autumn""))) AS ?season)
} GROUP BY ?season ORDER BY DESC(?range) LIMIT 1"
Seasonal & Period Comparison,Which season has the lowest rainfall?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?season (AVG(?val) AS ?avgRain) WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""precipitation"" .
 BIND(IF(MONTH(?date)=12 || MONTH(?date)<=2,""Winter"",IF(MONTH(?date)<=5,""Spring"",IF(MONTH(?date)<=8,""Summer"",""Autumn""))) AS ?season)
} GROUP BY ?season ORDER BY ASC(?avgRain) LIMIT 1"
Seasonal & Period Comparison,Which month shows the greatest temperature range?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?month (MAX(?val)-MIN(?val) AS ?range) WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
 BIND(MONTH(?date) AS ?month)
} GROUP BY ?month ORDER BY DESC(?range) LIMIT 1"
Seasonal & Period Comparison,What was the average temperature during summer 2010?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>

SELECT (AVG(?val) AS ?avgTemp)
WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
 FILTER(?date >= ""2010-06-01""^^xsd:date &&
        ?date <= ""2010-08-31""^^xsd:date)
}"
Seasonal & Period Comparison,Which season has the largest temperature variability?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?season (MAX(?val)-MIN(?val) AS ?range)
WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
 BIND(
   IF(MONTH(?date)=12 || MONTH(?date)<=2,""Winter"",
   IF(MONTH(?date)<=5,""Spring"",
   IF(MONTH(?date)<=8,""Summer"",""Autumn""))) AS ?season)
}
GROUP BY ?season
ORDER BY DESC(?range)
LIMIT 1"
Seasonal & Period Comparison,Which season is coldest on average?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?season (AVG(?val) AS ?avgTemp)
WHERE {
  ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
  ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
  BIND(
    IF(MONTH(?date)=12 || MONTH(?date)<=2, ""Winter"",
    IF(MONTH(?date)<=5, ""Spring"",
    IF(MONTH(?date)<=8, ""Summer"",""Autumn""))) AS ?season)
}
GROUP BY ?season
ORDER BY ASC(?avgTemp)
LIMIT 1"
Seasonal & Period Comparison,Is summer warmer than winter?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?season (AVG(?val) AS ?avgTemp)
WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
 BIND(
   IF(MONTH(?date)=12 || MONTH(?date)<=2,""Winter"",
   IF(MONTH(?date)>=6 && MONTH(?date)<=8,""Summer"",""Other"")) AS ?season)
 FILTER(?season!=""Other"")
}
GROUP BY ?season"
Seasonal & Period Comparison,Which month has the highest average temperature?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?month (AVG(?val) AS ?avgTemp)
WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
 BIND(MONTH(?date) AS ?month)
}
GROUP BY ?month
ORDER BY DESC(?avgTemp)
LIMIT 1"
Seasonal & Period Comparison,Which season is warmest on average?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?season (AVG(?val) AS ?avgTemp)
WHERE {
  ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
  ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
  BIND(
    IF(MONTH(?date)=12 || MONTH(?date)<=2, ""Winter"",
    IF(MONTH(?date)<=5, ""Spring"",
    IF(MONTH(?date)<=8, ""Summer"",""Autumn""))) AS ?season)
}
GROUP BY ?season
ORDER BY DESC(?avgTemp)
LIMIT 1"
Seasonal & Period Comparison,Which month has the lowest average temperature?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?month (AVG(?val) AS ?avgTemp)
WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
 BIND(MONTH(?date) AS ?month)
}
GROUP BY ?month
ORDER BY ASC(?avgTemp)
LIMIT 1"
Seasonal & Period Comparison,Is July warmer than January?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?month (AVG(?val) AS ?avgTemp)
WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
 BIND(MONTH(?date) AS ?month)
 FILTER(?month=1 || ?month=7)
}
GROUP BY ?month"
Seasonal & Period Comparison,Which season has the highest average rainfall?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?season (AVG(?val) AS ?avgRain)
WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""precipitation"" .
 BIND(
   IF(MONTH(?date)=12 || MONTH(?date)<=2,""Winter"",
   IF(MONTH(?date)<=5,""Spring"",
   IF(MONTH(?date)<=8,""Summer"",""Autumn""))) AS ?season)
}
GROUP BY ?season
ORDER BY DESC(?avgRain)
LIMIT 1"
Seasonal & Period Comparison,Was the 2000s warmer than the 1990s?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?decade (AVG(?val) AS ?avgTemp)
WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
 BIND(FLOOR(YEAR(?date)/10)*10 AS ?decade)
 FILTER(?decade=1990 || ?decade=2000)
}
GROUP BY ?decade"
Statistical Summaries,What is the median precipitation value?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
# compute median externally
SELECT ?val WHERE { ?res qudt:numericValue ?val ; rdfs:label ""precipitation"" . }"
Statistical Summaries,What is the minimum snow depth?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT (MIN(?val) AS ?minSnow) WHERE {
 ?res qudt:numericValue ?val ; rdfs:label ""snow_depth"" .
}"
Statistical Summaries,What is the maximum precipitation value?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT (MAX(?val) AS ?maxRain) WHERE {
 ?res qudt:numericValue ?val ; rdfs:label ""precipitation"" .
}"
Statistical Summaries,What is the interquartile range of temperature?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
# compute IQR externally
SELECT ?val WHERE { ?res qudt:numericValue ?val ; rdfs:label ""avg"" . }"
Statistical Summaries,What percentage of days are rainy?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT (COUNT(?obs) AS ?rainyDays) WHERE {
 ?obs sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""precipitation"" .
 FILTER(?val>0)
}"
Statistical Summaries,How many days exceed the yearly average temperature?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
# compute yearly means externally
SELECT ?date ?val WHERE {
 ?obs sosa:resultTime ?date ; sosa:hasResult ?res .
 ?res qudt:numericValue ?val ; rdfs:label ""avg"" .
}"
Statistical Summaries,What is the variance of average temperature?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
# compute variance externally
SELECT ?val WHERE { ?res qudt:numericValue ?val ; rdfs:label ""avg"" . }"
Statistical Summaries,How many observations have missing precipitation?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
# missing values not represented; compare with CSV totals externally
SELECT (COUNT(?res) AS ?precipResults) WHERE {
 ?res rdfs:label ""precipitation"" .
}"
Statistical Summaries,What is the standard deviation of average temperature?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?val
WHERE {
  ?res qudt:numericValue ?val ;
       rdfs:label ""avg"" .
}"
Statistical Summaries,What is the highest average daily temperature?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT (MAX(?val) AS ?maxAvg)
WHERE {
  ?res qudt:numericValue ?val ;
       rdfs:label ""avg"" .
}"
Statistical Summaries,How many days had minimum temperature below 32Â°F?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT (COUNT(?res) AS ?days)
WHERE {
  ?res qudt:numericValue ?val ;
       rdfs:label ""min"" .
  FILTER(?val < 32)
}"
Statistical Summaries,How many days had average temperature above 60Â°F?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT (COUNT(?res) AS ?days)
WHERE {
  ?res qudt:numericValue ?val ;
       rdfs:label ""avg"" .
  FILTER(?val > 60)
}"
Statistical Summaries,What is the lowest average daily temperature?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT (MIN(?val) AS ?minAvg)
WHERE {
  ?res qudt:numericValue ?val ;
       rdfs:label ""avg"" .
}"
Statistical Summaries,How many days had precipitation greater than zero?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT (COUNT(?obs) AS ?rainyDays)
WHERE {
  ?obs sosa:hasResult ?res .
  ?res qudt:numericValue ?val ;
       rdfs:label ""precipitation"" .
  FILTER(?val > 0)
}"
Statistical Summaries,How many temperature records exist in the dataset?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT (COUNT(?res) AS ?count)
WHERE {
  ?res rdfs:label ""avg"" .
}"
Statistical Summaries,What is the average precipitation in the dataset?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT (AVG(?val) AS ?avgRain)
WHERE {
  ?obs sosa:hasResult ?res .
  ?res qudt:numericValue ?val ;
       rdfs:label ""precipitation"" .
}"
Statistical Summaries,What is the overall average temperature in the dataset?,"PREFIX sosa: <http://www.w3.org/ns/sosa/>
PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT (AVG(?val) AS ?avgTemp)
WHERE {
  ?obs sosa:hasResult ?res .
  ?res qudt:numericValue ?val ;
       rdfs:label ""avg"" .
}"
Statistical Summaries,What is the mean maximum temperature?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT (AVG(?val) AS ?meanMax) WHERE {
 ?res qudt:numericValue ?val ; rdfs:label ""max"" .
}"
Statistical Summaries,What is the median daily average temperature?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?val
WHERE {
  ?res qudt:numericValue ?val ;
       rdfs:label ""avg"" .
}"
Statistical Summaries,What is the mean minimum temperature?,"PREFIX qudt: <http://qudt.org/1.1/schema/qudt#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT (AVG(?val) AS ?meanMin) WHERE {
 ?res qudt:numericValue ?val ; rdfs:label ""min"" .
}"
